temperatura_c,umidade_pct,perda_pacotes_pct,latencia_ms,tentativas_login_falhas,idade_firmware_dias,consumo_cpu_pct,trafego_saida_kbps,criptografia_ativa,protocolo,rede,tipo_equipamento,risco_alto
30.13,73.29,2.82,110.83,1,61,58.98,99.77,sim,CoAP,iot_isolada,sensor,0
20.72,46.17,1.16,34.89,1,38,21.33,268.56,sim,CoAP,iot_isolada,sensor,0
33.25,48.33,6.8,101.95,0,397,48.1,460.81,sim,MQTT,corporativa,sensor,0
34.58,43.15,4.02,121.12,0,146,44.1,384.14,sim,CoAP,iot_isolada,sensor,0
14.34,41.55,2.22,127.51,0,139,80.95,122.18,sim,MQTT,visitantes,atuador,0
18.88,64.5,7.53,80.09,2,104,30.29,138.54,sim,MQTT,corporativa,camera,0
28.89,56.61,1.68,77.09,2,120,42.22,365.38,sim,MQTT,iot_isolada,atuador,0
25.79,63.73,7.66,62.77,2,409,67.25,427.34,sim,MQTT,visitantes,sensor,0
27.88,51.84,11.56,67.58,2,88,39.86,137.68,sim,MQTT,corporativa,atuador,1
22.03,61.24,3.94,187.25,1,177,19.0,393.4,sim,CoAP,iot_isolada,atuador,1
34.16,44.46,3.54,69.2,2,79,26.62,103.47,sim,HTTP,visitantes,gateway,0
33.44,92.14,10.35,37.19,2,214,36.54,462.7,sim,MQTT,iot_isolada,sensor,0
28.46,23.78,1.91,81.27,1,137,74.22,160.98,sim,MQTT,corporativa,atuador,0
35.89,74.7,10.32,108.11,2,279,43.56,316.2,sim,MQTT,iot_isolada,atuador,1
31.27,76.62,11.31,124.07,1,306,9.81,281.13,sim,HTTP,iot_isolada,sensor,0
21.98,36.66,1.56,28.59,0,560,58.39,673.48,sim,MQTT,iot_isolada,atuador,0
30.58,92.13,0.72,163.26,1,820,50.82,354.07,sim,MQTT,corporativa,atuador,0
21.29,69.92,8.48,105.43,2,113,94.35,196.49,sim,MQTT,corporativa,sensor,0
34.15,69.48,0.95,157.39,3,331,59.05,384.41,nao,HTTP,iot_isolada,sensor,1
27.65,52.5,2.5,20.19,0,135,75.8,1339.01,sim,MQTT,iot_isolada,sensor,1
26.71,48.09,6.19,130.69,0,299,55.67,501.74,sim,MQTT,visitantes,camera,0
23.23,48.23,5.57,27.43,1,290,38.89,286.74,sim,MQTT,iot_isolada,atuador,0
36.56,59.03,3.03,52.91,0,284,44.2,166.75,sim,CoAP,iot_isolada,atuador,0
26.92,77.22,3.83,107.72,1,350,42.45,194.12,sim,MQTT,corporativa,sensor,0
25.0,55.26,3.85,25.18,3,225,22.91,481.06,nao,HTTP,iot_isolada,camera,0
25.54,35.59,1.14,43.0,2,146,62.81,160.76,sim,HTTP,visitantes,camera,0
31.73,66.84,4.75,19.85,2,216,22.25,299.43,sim,CoAP,corporativa,camera,0
30.56,68.58,4.06,105.83,1,779,87.06,817.57,nao,HTTP,corporativa,gateway,1
30.89,63.78,0.08,34.42,0,124,26.96,332.05,nao,HTTP,visitantes,camera,0
31.02,65.42,10.47,66.09,2,156,59.35,140.42,sim,MQTT,iot_isolada,sensor,0
42.99,47.12,6.71,86.69,2,106,55.52,1372.64,sim,HTTP,iot_isolada,sensor,0
25.16,35.28,7.81,80.63,4,31,55.33,1026.3,sim,CoAP,iot_isolada,atuador,1
24.41,36.37,2.69,75.64,1,189,20.79,424.46,sim,CoAP,visitantes,sensor,0
22.3,22.56,18.93,75.54,0,314,46.31,729.99,sim,CoAP,iot_isolada,sensor,0
32.31,56.27,13.15,21.08,1,91,22.87,247.92,nao,HTTP,iot_isolada,atuador,0
35.9,50.5,10.96,55.1,2,502,59.75,496.27,sim,HTTP,iot_isolada,atuador,1
27.2,44.08,4.85,75.07,3,273,48.66,222.19,sim,MQTT,corporativa,gateway,0
22.12,5.0,7.98,69.47,1,412,51.78,115.72,sim,CoAP,iot_isolada,sensor,1
22.23,29.55,7.41,59.87,1,254,36.01,1834.17,sim,CoAP,iot_isolada,camera,1
